arch_id,name,params,flops,val_acc,latency_cpu_ms,latency_cuda_ms
39,conv_medium_m9195,1351210,27024200,0.7981,15.70885976155599,0.9358088175455729
29,conv_medium,,,0.7929,11.669532457987467,
38,conv_medium_m488,1343866,26877320,0.7883,16.26323858896891,1.1923948923746743
36,conv_medium_m4012,1369770,27395400,0.765,14.251391092936197,1.2735684712727866
37,conv_medium_m8935,1323498,26469960,0.744,13.215406735738119,0.9970903396606446
11,conv_medium_m488,46400,928000,0.1015625,13.134185473124187,
9,conv_medium_m4012,52800,1056000,0.1015625,11.432393391927084,
12,conv_medium_m9195,43200,864000,0.099609375,12.597926457722982,
8,conv_medium,48000,960000,0.095703125,11.1448605855306,
10,conv_medium_m8935,43200,864000,0.087890625,10.286951065063477,
